,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item
0,2019-01-01,8.0,Holiday,,,,,
1,2019-01-04,2.67,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
2,2019-01-04,0.5,Lunch Break,,,,,
3,2019-01-04,5.08,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
4,2019-01-04,0.5,Rest Break,,,,,
5,2019-01-07,1.5,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
6,2019-01-07,2.5,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
7,2019-01-07,0.5,Lunch Break,,,,,
8,2019-01-07,1.5,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
9,2019-01-07,0.83,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
10,2019-01-07,0.17,Rest Break,,,,,
11,2019-01-07,1.25,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
12,2019-01-07,0.25,Rest Break,,,,,
13,2019-01-08,4.33,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
14,2019-01-08,0.5,Lunch Break,,,,,
15,2019-01-08,3.17,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
16,2019-01-08,0.5,Rest Break,,,,,
17,2019-01-09,3.33,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
18,2019-01-09,0.5,Lunch Break,,,,,
19,2019-01-09,1.0,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
20,2019-01-09,2.5,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
21,2019-01-09,0.5,Rest Break,,,,,
22,2019-01-10,3.08,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
23,2019-01-10,0.5,Lunch Break,,,,,
24,2019-01-10,4.42,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
25,2019-01-10,0.5,Rest Break,,,,,
26,2019-01-14,3.08,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
27,2019-01-14,0.08,Lunch Break,,,,,
28,2019-01-14,4.42,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
29,2019-01-14,0.42,Lunch Break,,,,,
30,2019-01-14,0.5,Rest Break,,,,,
31,2019-01-15,5.6,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
32,2019-01-15,0.48,ASD,18384 - EFCU Palmdale,Project Coordination,No,Nonresidential,Energy Code Compliance Work
33,2019-01-15,1.58,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
34,2019-01-15,0.5,Lunch Break,,,,,
35,2019-01-15,0.5,Rest Break,,,,,
36,2019-01-16,3.75,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
37,2019-01-16,0.5,Lunch Break,,,,,
38,2019-01-16,3.25,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
39,2019-01-16,0.5,Rest Break,,,,,
40,2019-01-17,5.67,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
41,2019-01-17,0.25,Lunch Break,,,,,
42,2019-01-17,1.33,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
43,2019-01-17,0.5,Rest Break,,,,,
44,2019-01-18,2.5,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
45,2019-01-18,0.5,Lunch Break,,,,,
46,2019-01-18,0.5,Rest Break,,,,,
47,2019-01-18,4.5,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
48,2019-01-21,8.0,Holiday,,,,,
49,2019-01-22,4.83,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
50,2019-01-22,0.5,Lunch Break,,,,,
51,2019-01-22,0.5,Rest Break,,,,,
52,2019-01-22,2.92,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
53,2019-01-23,0.25,Rest Break,,,,,
