,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item
0,2019-01-01,8.0,Holiday,,,,,
1,2019-01-02,7.25,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
2,2019-01-02,2.48,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
3,2019-01-03,0.5,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
4,2019-01-03,10.67,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
5,2019-01-04,1.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
6,2019-01-04,0.33,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
7,2019-01-04,0.83,Lunch Break,,,,,
8,2019-01-04,9.58,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
9,2019-01-04,3.0,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
10,2019-01-06,1.0,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
11,2019-01-07,10.17,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
12,2019-01-07,2.0,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
13,2019-01-07,0.65,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T#1801: Admin Support (add notes):,Yes,Utilities:PG&E,Task 3 - Compliance Improvement
14,2019-01-08,1.0,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead
15,2019-01-08,1.0,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
16,2019-01-08,0.5,SAN DIEGO GAS & ELECTRIC CO,18002 Codes & Standards Buildings Edu,"T31801: ""Other"" General (add Notes):",Yes,Utilities:SDG&E,Task 3 - Compliance Improvement
17,2019-01-08,0.33,NORESCO,18340 SCE 2019 Resources Update,S31801: Other Support,Yes,Utilities:Other Utilities,Sub-NORESCO
18,2019-01-08,0.25,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T#1801: Admin Support (add notes):,Yes,Utilities:PG&E,Task 3 - Compliance Improvement
19,2019-01-08,2.33,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
20,2019-01-08,1.33,Lunch Break,,,,,
21,2019-01-08,2.08,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
22,2019-01-08,4.83,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
23,2019-01-09,5.0,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
24,2019-01-09,0.83,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
25,2019-01-09,2.17,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
26,2019-01-09,1.83,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
27,2019-01-10,1.5,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
28,2019-01-10,1.5,Lunch Break,,,,,
29,2019-01-10,0.58,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
30,2019-01-10,2.23,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
31,2019-01-10,1.33,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T11801: Decoding: General (add notes):,Yes,Utilities:PG&E,Task 1 - Decoding Talks
32,2019-01-10,1.92,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
33,2019-01-11,3.5,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
34,2019-01-11,1.0,Lunch Break,,,,,
35,2019-01-11,0.67,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
36,2019-01-11,1.5,Lunch Break,,,,,
37,2019-01-11,1.83,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
38,2019-01-11,1.5,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T#1801: Admin Support (add notes):,Yes,Utilities:PG&E,Task 3 - Compliance Improvement
