,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item
0,2019-01-01,8.0,Holiday,,,,,
1,2019-01-02,1.75,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
2,2019-01-02,1.08,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
3,2019-01-02,1.58,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
4,2019-01-02,1.25,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Energy Code Compliance Work
5,2019-01-03,2.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
6,2019-01-03,0.67,Lunch Break,,,,,
7,2019-01-03,0.33,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
8,2019-01-03,0.58,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services
9,2019-01-03,0.17,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
10,2019-01-03,0.92,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services
11,2019-01-03,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
12,2019-01-04,0.83,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
13,2019-01-04,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
14,2019-01-04,1.58,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services
15,2019-01-04,0.5,Lunch Break,,,,,
16,2019-01-04,1.25,BDE Architecture Inc.,18247 Windy Hill Multifamily,Meeting,No,Nonresidential,Meetings
17,2019-01-04,0.08,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services
18,2019-01-04,0.33,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
19,2019-01-04,0.67,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services
20,2019-01-04,1.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
