,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item
0,2019-01-01,0.7,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
1,2019-01-04,6.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
2,2019-01-04,0.17,HOMEOWNER,18392 - (Spaulding) Ye Residence,Project Coordination,No,Residential,Energy Code Compliance Work
3,2019-01-04,0.17,HOMEOWNER,18392 - (Spaulding) Ye Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
4,2019-01-04,0.17,Rest Break,,,,,
5,2019-01-04,0.75,HOMEOWNER,18392 - (Spaulding) Ye Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
6,2019-01-04,0.33,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
7,2019-01-07,2.08,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
8,2019-01-07,0.25,Rest Break,,,,,
9,2019-01-07,0.58,HOMEOWNER,18392 - (Spaulding) Ye Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
10,2019-01-07,0.5,HOMEOWNER,18392 - (Spaulding) Ye Residence,Compliance,No,Residential,Energy Code Compliance Work
11,2019-01-07,0.22,Rest Break,,,,,
12,2019-01-07,0.28,HOMEOWNER,18392 - (Spaulding) Ye Residence,Project Coordination,No,Residential,Energy Code Compliance Work
13,2019-01-07,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
14,2019-01-07,1.0,Lunch Break,,,,,
15,2019-01-07,2.25,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
16,2019-01-07,0.2,HOMEOWNER,18392 - (Spaulding) Ye Residence,Project Coordination,No,Residential,Energy Code Compliance Work
17,2019-01-07,0.4,HOMEOWNER,18184 [Spaulding] Patel Residence,Energy Model/Takeoffs,No,Residential,Revision
18,2019-01-07,0.15,HOMEOWNER,18392 - (Spaulding) Ye Residence,Project Coordination,No,Residential,Energy Code Compliance Work
19,2019-01-07,0.33,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
20,2019-01-07,0.17,HOMEOWNER,18184 [Spaulding] Patel Residence,Project Coordination,No,Residential,Revision
21,2019-01-07,0.33,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
22,2019-01-08,3.92,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
23,2019-01-08,0.83,Lunch Break,,,,,
24,2019-01-08,0.25,Rest Break,,,,,
25,2019-01-08,1.0,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
26,2019-01-08,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
27,2019-01-08,0.72,Daniel Hoy AIA,18357 - 2050 San Jose,Peer Review/Education,No,Residential,Energy Code Compliance Work
28,2019-01-08,0.53,Buchanan Opalach Architects,18386 - Gopalakrishnan Residence,Peer Review/Education,No,Residential,Energy Code Compliance Work
29,2019-01-08,1.58,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
30,2019-01-08,0.58,Jayson Architecture,18390 - Sosa Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
31,2019-01-09,2.25,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
32,2019-01-09,0.42,Jayson Architecture,18390 - Sosa Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
33,2019-01-09,1.83,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
34,2019-01-09,0.25,Rest Break,,,,,
35,2019-01-09,1.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
36,2019-01-09,1.75,Lunch Break,,,,,
37,2019-01-09,0.5,Jayson Architecture,18390 - Sosa Residence,Project Coordination,No,Residential,Energy Code Compliance Work
38,2019-01-09,2.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
39,2019-01-10,1.58,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
40,2019-01-10,0.33,Buchanan Opalach Architects,18041 - Horrocks Mustard Residence,Project Coordination,Yes,Residential,Revision
41,2019-01-10,1.92,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
42,2019-01-10,0.38,Jayson Architecture,18390 - Sosa Residence,Project Coordination,No,Residential,Energy Code Compliance Work
43,2019-01-10,0.37,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
44,2019-01-10,1.42,Lunch Break,,,,,
45,2019-01-10,5.17,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
46,2019-01-10,0.83,Jayson Architecture,18390 - Sosa Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
47,2019-01-11,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
48,2019-01-11,0.25,"Kasia Ekstrand, Architect",19010 - Krause Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
49,2019-01-11,1.75,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
50,2019-01-11,1.67,Lunch Break,,,,,
51,2019-01-11,3.42,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
52,2019-01-11,0.42,Jayson Architecture,18390 - Sosa Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
53,2019-01-11,0.42,Jayson Architecture,18390 - Sosa Residence,Project Coordination,No,Residential,Energy Code Compliance Work
54,2019-01-11,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
55,2019-01-12,1.0,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
56,2019-01-12,0.33,HOMEOWNER,18221 - Klumb Residence,Revision,Yes,Residential,Revision
57,2019-01-12,0.0,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
58,2019-01-12,1.42,Hal Architect,17330-MA BAKER ADU,Revision,Yes,Residential,Revision
59,2019-01-12,0.83,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
60,2019-01-14,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
61,2019-01-14,0.58,HOMEOWNER,18221 - Klumb Residence,Revision,Yes,Residential,Revision
62,2019-01-14,8.92,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
63,2019-01-14,0.17,HOMEOWNER,18221 - Klumb Residence,Revision,Yes,Residential,Revision
64,2019-01-14,0.08,Jayson Architecture,18390 - Sosa Residence,Project Coordination,No,Residential,Energy Code Compliance Work
65,2019-01-15,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
66,2019-01-15,1.92,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
67,2019-01-15,0.58,Hal Architect,17330-MA BAKER ADU,Revision,Yes,Residential,Revision
68,2019-01-15,1.58,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
69,2019-01-15,0.25,"Jason Kaldis Architect, Inc.",16159 - Bernhard Residence,Revision,Yes,Residential,Revision
70,2019-01-15,3.17,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
71,2019-01-15,0.17,"Jason Kaldis Architect, Inc.",16159 - Bernhard Residence,Revision,Yes,Residential,Revision
72,2019-01-15,0.58,Jayson Architecture,18390 - Sosa Residence,Project Coordination,No,Residential,Energy Code Compliance Work
73,2019-01-15,1.0,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
74,2019-01-16,0.5,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead
75,2019-01-16,0.42,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
76,2019-01-16,0.83,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead
77,2019-01-16,1.25,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
78,2019-01-16,0.58,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead
79,2019-01-16,0.75,Lunch Break,,,,,
80,2019-01-16,0.58,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead
81,2019-01-16,1.67,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead
82,2019-01-16,0.25,Rest Break,,,,,
83,2019-01-16,0.58,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
84,2019-01-16,0.5,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
