,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item
0,2019-03-05,5.33,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
1,2019-03-06,7.0,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
2,2019-03-08,7.0,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
3,2019-03-11,2.42,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
4,2019-03-11,0.67,Lunch Break,,,,,
5,2019-03-11,0.5,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu,T#1801: Admin Support (add notes):,Yes,Utilities:PG&E,Task 3 - Compliance Improvement
6,2019-03-11,3.42,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
7,2019-03-12,3.17,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
8,2019-03-12,0.75,Lunch Break,,,,,
9,2019-03-12,3.5,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
10,2019-03-13,3.42,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
11,2019-03-13,0.92,Lunch Break,,,,,
12,2019-03-13,2.67,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
13,2019-03-15,2.33,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
14,2019-03-15,0.75,Lunch Break,,,,,
15,2019-03-15,3.83,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
16,2019-03-18,3.0,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
17,2019-03-18,0.33,Lunch Break,,,,,
18,2019-03-18,2.08,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
19,2019-03-18,0.5,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu,T#1801: Admin Support (add notes):,Yes,Utilities:PG&E,Task 3 - Compliance Improvement
20,2019-03-20,2.08,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
21,2019-03-20,0.42,SAN DIEGO GAS & ELECTRIC CO,19002 Codes & Standards Edu,"T31801: ""Other"" General (add Notes):",Yes,Utilities:SDG&E,Task 3 - Compliance Improvement
22,2019-03-20,0.33,Lunch Break,,,,,
23,2019-03-20,2.67,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
24,2019-03-22,2.75,Gabel Energy,,Gabel: Accounting,No,Overhead,Overhead
