,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item
0,2019-08-20,3.75,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
1,2019-08-20,0.5,Lunch Break,,,,,
2,2019-08-20,3.5,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
3,2019-08-20,4.5,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
4,2019-08-20,2.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
5,2019-08-21,0.5,Lunch Break,,,,,
6,2019-08-21,3.0,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
7,2019-08-21,0.58,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
8,2019-08-21,3.33,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
9,2019-08-21,0.25,Rest Break,,,,,
10,2019-08-21,0.83,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
11,2019-08-22,0.5,Lunch Break,,,,,
12,2019-08-22,1.58,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
13,2019-08-22,4.58,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
14,2019-08-22,0.25,Rest Break,,,,,
15,2019-08-22,1.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
16,2019-08-23,0.5,Lunch Break,,,,,
17,2019-08-23,3.83,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
18,2019-08-23,0.25,Rest Break,,,,,
19,2019-08-23,0.33,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
20,2019-08-23,0.0,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
21,2019-08-23,1.92,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
22,2019-08-23,0.25,Rest Break,,,,,
23,2019-08-23,1.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
24,2019-08-26,2.0,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
25,2019-08-26,0.25,Rest Break,,,,,
26,2019-08-26,1.75,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
27,2019-08-26,0.58,Lunch Break,,,,,
28,2019-08-26,1.42,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
29,2019-08-26,2.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
30,2019-08-27,0.5,Lunch Break,,,,,
31,2019-08-27,7.0,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
32,2019-08-27,0.25,Rest Break,,,,,
33,2019-08-27,0.25,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
