,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item
0,2019-01-01,8.0,Holiday,,,,,
1,2019-01-02,0.22,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
2,2019-01-02,0.35,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
3,2019-01-02,0.08,Buchanan Opalach Architects,18386 - Gopalakrishnan Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
4,2019-01-02,3.4,BDE Architecture Inc.,18267 Flower Mart Multi-family,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
5,2019-01-02,0.5,Lunch Break,,,,,
6,2019-01-02,4.3,BDE Architecture Inc.,18267 Flower Mart Multi-family,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
7,2019-01-03,0.12,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
8,2019-01-03,0.52,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
9,2019-01-03,0.52,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
10,2019-01-03,2.68,BDE Architecture Inc.,18267 Flower Mart Multi-family,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
11,2019-01-03,0.52,Lunch Break,,,,,
12,2019-01-03,0.48,BDE Architecture Inc.,18267 Flower Mart Multi-family,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
13,2019-01-03,0.47,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
14,2019-01-03,1.8,BDE Architecture Inc.,18267 Flower Mart Multi-family,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
15,2019-01-03,0.28,Rest Break,,,,,
16,2019-01-03,1.4,BDE Architecture Inc.,18267 Flower Mart Multi-family,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
17,2019-01-04,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
18,2019-01-04,2.35,Buchanan Opalach Architects,18386 - Gopalakrishnan Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
19,2019-01-04,0.27,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
20,2019-01-04,0.57,Buchanan Opalach Architects,18386 - Gopalakrishnan Residence,Compliance,No,Residential,Energy Code Compliance Work
21,2019-01-04,0.38,BDE Architecture Inc.,18267 Flower Mart Multi-family,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
